Clusters under investigation,Location,Total to date,New in last 24 hours,Origin
Wedding,Bluff,87,0,Overseas exposure
Marist College,Auckland,84,0,
Hospitality venue,Matamata,69,5,Overseas exposure
Private function,Auckland,34,11,Unknown
World Hereford Conference,Queenstown,33,-3,Overseas exposure
Aged residential care facility,Christchurch,28,7,Unknown
Workplace,Auckland,28,4,Unknown
Group travel to US,Wellington,16,-3,Overseas exposure
Ruby Princess cruise ship,Hawke’s Bay,16,0,Overseas exposure
Group travel to US,Auckland,15,0,Overseas exposure
Aged residential care facility,Waikato,14,1,Overseas exposure
Wedding,Wellington,13,0,Overseas exposure
