Date,Total to date,New in last 24 hours,Total confirmed and probable cases,New confirmed and probable cases,Total of Recovered,New Recovered,Total of deaths,New deaths,Total,Total population(million - 2017)
26/02/2020,0,0,,,,,0,0,1121,4.794
27/02/2020,0,0,,,,,0,0,,
28/02/2020,1,1,,,,,0,0,,
29/02/2020,1,0,,,,,0,0,,
1/03/2020,1,0,,,,,0,0,,
2/03/2020,1,0,,,,,0,0,,
3/03/2020,1,0,,,,,0,0,,
4/03/2020,2,1,,,,,0,0,,
5/03/2020,3,1,,,,,0,0,,
6/03/2020,4,1,,,,,0,0,,
7/03/2020,5,1,,,,,0,0,,
8/03/2020,5,0,,0,,,0,0,,
9/03/2020,5,0,,0,,,0,0,,
10/03/2020,5,0,7,2,,,0,0,,
11/03/2020,5,0,7,2,1,1,0,0,,
12/03/2020,5,0,,0,,,0,0,,
13/03/2020,5,0,,0,,,0,0,,
14/03/2020,6,1,,,,,0,0,,
15/03/2020,8,2,,,,,0,0,,
16/03/2020,8,0,,,,,0,0,,
17/03/2020,12,4,,,,,0,0,,
18/03/2020,20,8,,,,,0,0,,
19/03/2020,28,8,,,,,0,0,,
20/03/2020,39,11,,,,,0,0,,
21/03/2020,53,14,57,18,,,0,0,,
22/03/2020,66,13,,,,,0,0,,
23/03/2020,102,36,,,,,0,0,,
24/03/2020,142,40,,,,,0,0,,
25/03/2020,189,47,,,,,0,0,,
26/03/2020,262,73,,,,,0,0,,
27/03/2020,338,76,,,,,0,0,,
28/03/2020,416,78,,,50,,0,0,,
29/03/2020,476,60,514,63,56,6,1,1,,
30/03/2020,552,76,589,75,63,6,1,0,,
31/03/2020,600,48,647,58,74,11,1,0,,
1/04/2020,647,47,708,61,82,8,1,0,,
2/04/2020,723,76,797,89,92,10,1,0,,
3/04/2020,772,49,868,71,103,11,1,0,,
4/04/2020,824,52,950,82,127,24,1,0,,
5/04/2020,872,48,1039,89,156,29,1,0,,
6/04/2020,911,39,1106,67,176,20,1,0,,
7/04/2020,943,32,1160,54,241,65,1,0,,
8/04/2020,969,26,1210,50,282,41,1,0,,
9/04/2020,992,23,1239,29,317,35,1,0,,
10/04/2020,1015,23,1283,44,373,56,2,1,,
11/04/2020,1035,20,1312,29,422,49,4,2,,
12/04/2020,1049,14,1330,18,471,49,4,0,,
13/04/2020,1064,15,1349,19,546,75,5,1,,
14/04/2020,1072,8,1366,17,628,82,9,4,,
15/04/2020,1078,6,1386,20,728,100,9,0,,
16/04/2020,1084,6,1401,15,770,42,9,0,,
17/04/2020,1086,2,1409,8,816,46,11,2,,
18/04/2020,1094,8,1422,13,867,51,11,0,,
19/04/2020,1098,4,1431,9,912,45,11,0,,
20/04/2020,1105,7,1440,9,974,62,12,1,,
21/04/2020,1107,2,1445,5,1006,32,13,1,,
22/04/2020,1113,6,1451,6,1036,30,14,1,,
23/04/2020,1112,-1,1451,0,1065,29,16,2,,
24/04/2020,1114,2,1456,5,1095,30,17,1,,
25/04/2020,1117,3,1461,5,1118,23,18,1,,
26/04/2020,1121,4,1470,9,1142,24,18,0,,
